,,,,,,,,,,,,,,,,,,
,RECEPTION DES COMMANDES,,,,,,,243 Commandes en instance,,,Le taux actuel du retour est 2 %,,,,,,,
,,,,,,,,,,,,,,,,,,
,DATE DE LIVRAISON,REF DEMANDE,VENDEUR,FOURNISSEUR,NOM DU PRODUIT / PIÈCE,RÉF,QTÉ,TYPE DE COMMANDE,STATUT COMMANDE,MOTIF RETOUR,"ENVOYE SUR FEUILLE
RETOUR",DATE RETOUR,ENVOYE SUR FEUILLE AVOIR,DATE AVOIR,SMS,"SMS
ARRIVÉ DE LA PIÈCE AU MAGASIN",COMMANDE CLOTUREE,"SMS RAPPEL
+ 7 JOURS (AUTOMATIQUE)"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2025-07-02 00:00:00,DMND/0207/3656,MHAMED,ACR,DEMARREUR,3102 = SBO1217,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/6616,MHAMED,AP,SUPPORT MOTEUR,2700052 = 40-0368,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/5299,MHAMED,AP,POMPE A EAU,WP2604 = MGC-6971,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/7130,MHAMED,OTTOGO,POMPE A EAU,WP2591 = PA983,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/1906,MHAMED,AP,COURROIE,6PK1212,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/2971,MHAMED,AP,COURROIE,6PK1090SF,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/2437,MHAMED,OTTOGO,PLAQUE 92,SIIPLEX92,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-04 00:00:00,DMND/0207/2971,MHAMED,AP,COURROIE,6PK1090SF,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
,2025-07-02 00:00:00,DMND/0207/2437,MHAMED,OTTOGO,PLAQUE 92,SIIPLEX92,1.0,RETOUR AU STOCK,RECU,,False,,False,,False,,True,
